                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.91267,                0.66557,                 1.1213,                0.80709,                 0.7292,                0.80557,                0.57597,                 1.0761,                0.81451,                 1.2571,              0.0004157,              0.0004157,              0.0004157
                      2,                0.97693,                0.76595,                  1.161,                0.79051,                0.68156,                 0.7684,                0.52136,                 1.1508,                0.93904,                 1.3192,             0.00081588,             0.00081588,             0.00081588
                      3,                 1.0185,                0.84774,                 1.1925,                0.75061,                0.68011,                0.73838,                0.49549,                 1.1731,                 1.0253,                  1.353,              0.0011996,              0.0011996,              0.0011996
                      4,                 1.0206,                0.86517,                 1.1956,                0.76883,                0.67852,                0.75904,                0.51498,                 1.1696,                 0.9614,                  1.337,              0.0011757,              0.0011757,              0.0011757
                      5,                 1.0175,                0.83759,                 1.1876,                 0.7769,                0.72772,                0.78392,                0.53597,                   1.17,                0.89387,                 1.3315,               0.001151,               0.001151,               0.001151
                      6,                 1.0099,                0.80693,                 1.1799,                0.79778,                0.73461,                0.79992,                 0.5515,                 1.1213,                0.87926,                  1.312,              0.0011263,              0.0011263,              0.0011263
                      7,                0.99463,                0.79539,                 1.1757,                0.76797,                0.73235,                0.78882,                0.54092,                 1.1497,                0.87822,                 1.3116,              0.0011015,              0.0011015,              0.0011015
                      8,                0.98667,                0.76785,                  1.167,                0.80033,                0.72338,                0.80854,                 0.5687,                 1.0882,                0.83916,                 1.2827,              0.0010768,              0.0010768,              0.0010768
                      9,                0.96611,                 0.7466,                 1.1554,                0.78609,                0.74474,                0.80251,                0.56373,                 1.0961,                0.83513,                 1.2963,               0.001052,               0.001052,               0.001052
                     10,                0.95163,                0.73714,                 1.1513,                0.82826,                0.70457,                0.80968,                0.57636,                 1.0832,                0.81965,                 1.2729,              0.0010273,              0.0010273,              0.0010273
                     11,                0.95972,                0.73551,                 1.1555,                0.80124,                0.75412,                0.81578,                0.56749,                 1.0935,                0.84216,                 1.2893,              0.0010025,              0.0010025,              0.0010025
                     12,                0.95363,                0.71879,                 1.1496,                0.80972,                 0.7276,                0.81025,                0.57326,                 1.0802,                0.80432,                 1.2677,             0.00097775,             0.00097775,             0.00097775
                     13,                0.94579,                 0.7043,                 1.1404,                0.81674,                0.75738,                0.83129,                0.58547,                 1.0871,                0.77352,                 1.2759,               0.000953,               0.000953,               0.000953
                     14,                0.93463,                0.69111,                 1.1378,                0.80633,                0.76599,                0.82662,                 0.5871,                 1.0726,                0.78144,                 1.2572,             0.00092825,             0.00092825,             0.00092825
                     15,                0.92259,                0.67202,                 1.1246,                0.81605,                 0.7611,                0.82694,                0.58913,                 1.0625,                0.77416,                 1.2561,              0.0009035,              0.0009035,              0.0009035
                     16,                0.91872,                  0.673,                 1.1224,                0.83114,                0.75622,                0.84013,                 0.5947,                 1.0499,                0.74866,                 1.2358,             0.00087875,             0.00087875,             0.00087875
                     17,                0.90695,                0.64596,                 1.1137,                0.84529,                0.75754,                0.83946,                0.60372,                 1.0354,                0.73794,                 1.2342,               0.000854,               0.000854,               0.000854
                     18,                0.89835,                0.63298,                 1.1083,                0.84756,                0.76118,                 0.8434,                0.61147,                 1.0515,                0.72574,                  1.245,             0.00082925,             0.00082925,             0.00082925
                     19,                0.90193,                0.63918,                 1.1139,                0.82507,                0.77955,                0.84522,                0.61404,                 1.0325,                  0.731,                 1.2385,              0.0008045,              0.0008045,              0.0008045
                     20,                0.88542,                0.61805,                 1.1036,                0.82809,                0.78388,                 0.8367,                0.60824,                 1.0407,                0.73931,                 1.2423,             0.00077975,             0.00077975,             0.00077975
                     21,                0.87599,                0.59847,                 1.0979,                0.85386,                0.77684,                0.85319,                0.61855,                 1.0289,                0.71427,                 1.2277,               0.000755,               0.000755,               0.000755
                     22,                0.87754,                 0.6057,                 1.1016,                   0.83,                0.78964,                0.84546,                0.61224,                 1.0312,                0.71611,                 1.2236,             0.00073025,             0.00073025,             0.00073025
                     23,                  0.863,                0.59099,                 1.0865,                0.83241,                0.79403,                0.84755,                0.61803,                 1.0366,                0.71521,                 1.2384,              0.0007055,              0.0007055,              0.0007055
